City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
292,Svetlogorsk,BY,2020-02-17 03:15:23,52.63,29.73,37.44,73,100,18.39
293,Margate,GB,2020-02-17 03:15:23,51.38,1.39,46.4,62,0,20.8
294,Poso,ID,2020-02-17 03:15:24,-1.4,120.75,75.51,78,73,4.18
295,Itarema,BR,2020-02-17 03:15:24,-2.92,-39.92,75.13,93,96,2.62
296,Providencia,MX,2020-02-17 03:11:01,28.72,-111.58,70.0,62,100,1.99
297,Port Augusta,AU,2020-02-17 03:15:24,-32.5,137.77,93.0,41,0,8.05
298,Presidencia Roque Saenz Pena,AR,2020-02-17 03:15:24,-26.79,-60.44,81.9,79,33,11.39
299,Umm Lajj,SA,2020-02-17 03:15:25,25.02,37.27,60.84,52,22,5.39
300,Batticaloa,LK,2020-02-17 03:15:25,7.71,81.69,79.63,73,49,6.15
301,Ljungby,SE,2020-02-17 03:15:25,56.83,13.94,42.8,93,94,18.34
